Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Clark County, NV",32003,"Intentional self-harm by hanging, strangulation and suffocation",X70,114,2231647,5.1
,"Clark County, NV",32003,Intentional self-harm by handgun discharge,X72,52,2231647,2.3
,"Clark County, NV",32003,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,10,2231647,Unreliable
,"Clark County, NV",32003,Intentional self-harm by other and unspecified firearm discharge,X74,184,2231647,8.2
,"Clark County, NV",32003,Intentional self-harm by jumping from a high place,X80,16,2231647,Unreliable
,"Washoe County, NV",32031,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,465735,Unreliable
,"Washoe County, NV",32031,Intentional self-harm by handgun discharge,X72,38,465735,8.2
,"Hillsborough County, NH",33011,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,415247,Unreliable
,"Hillsborough County, NH",33011,Intentional self-harm by handgun discharge,X72,15,415247,Unreliable
,"Hillsborough County, NH",33011,Intentional self-harm by other and unspecified firearm discharge,X74,12,415247,Unreliable
,"Merrimack County, NH",33013,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,151132,Unreliable
,"Rockingham County, NH",33015,"Intentional self-harm by hanging, strangulation and suffocation",X70,24,309176,7.8
,"Rockingham County, NH",33015,Intentional self-harm by handgun discharge,X72,16,309176,Unreliable
,"Bergen County, NJ",34003,"Intentional self-harm by hanging, strangulation and suffocation",X70,36,936692,3.8
,"Bergen County, NJ",34003,Intentional self-harm by other and unspecified firearm discharge,X74,15,936692,Unreliable
,"Burlington County, NJ",34005,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,445384,Unreliable
,"Burlington County, NJ",34005,Intentional self-harm by other and unspecified firearm discharge,X74,14,445384,Unreliable
,"Camden County, NJ",34007,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,507078,5.7
,"Camden County, NJ",34007,Intentional self-harm by other and unspecified firearm discharge,X74,11,507078,Unreliable
,"Essex County, NJ",34013,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,799767,2.8
,"Essex County, NJ",34013,Intentional self-harm by other and unspecified firearm discharge,X74,12,799767,Unreliable
,"Gloucester County, NJ",34015,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,291408,Unreliable
,"Hudson County, NJ",34017,"Intentional self-harm by hanging, strangulation and suffocation",X70,30,676061,4.4
,"Middlesex County, NJ",34023,"Intentional self-harm by hanging, strangulation and suffocation",X70,33,829685,4.0
,"Middlesex County, NJ",34023,Intentional self-harm by other and unspecified firearm discharge,X74,14,829685,Unreliable
,"Monmouth County, NJ",34025,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,621354,4.7
,"Morris County, NJ",34027,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,494228,4.0
,"Ocean County, NJ",34029,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,601651,4.3
,"Ocean County, NJ",34029,Intentional self-harm by other and unspecified firearm discharge,X74,13,601651,Unreliable
,"Passaic County, NJ",34031,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,503310,Unreliable
,"Somerset County, NJ",34035,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,331164,Unreliable
,"Union County, NJ",34039,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,558067,Unreliable
,"Bernalillo County, NM",35001,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,678701,Unreliable
,"Bernalillo County, NM",35001,"Intentional self-harm by hanging, strangulation and suffocation",X70,51,678701,7.5
,"Bernalillo County, NM",35001,Intentional self-harm by handgun discharge,X72,12,678701,Unreliable
,"Bernalillo County, NM",35001,Intentional self-harm by other and unspecified firearm discharge,X74,71,678701,10.5
,"Dona Ana County, NM",35013,Intentional self-harm by other and unspecified firearm discharge,X74,16,217522,Unreliable
,"McKinley County, NM",35031,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,72290,Unreliable
,"Otero County, NM",35035,Intentional self-harm by other and unspecified firearm discharge,X74,10,66781,Unreliable
,"Sandoval County, NM",35043,Intentional self-harm by other and unspecified firearm discharge,X74,11,145179,Unreliable
,"San Juan County, NM",35045,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,125043,16.0
,"San Juan County, NM",35045,Intentional self-harm by other and unspecified firearm discharge,X74,15,125043,Unreliable
,"Santa Fe County, NM",35049,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,150056,Unreliable
,"Santa Fe County, NM",35049,Intentional self-harm by other and unspecified firearm discharge,X74,14,150056,Unreliable
,"Albany County, NY",36001,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,307117,Unreliable
,"Bronx County, NY",36005,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,1432132,2.0
,"Bronx County, NY",36005,Intentional self-harm by jumping from a high place,X80,18,1432132,Unreliable
,"Dutchess County, NY",36027,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,293718,Unreliable
,"Dutchess County, NY",36027,Intentional self-harm by other and unspecified firearm discharge,X74,15,293718,Unreliable
,"Erie County, NY",36029,"Intentional self-harm by hanging, strangulation and suffocation",X70,42,919719,4.6
,"Erie County, NY",36029,Intentional self-harm by other and unspecified firearm discharge,X74,14,919719,Unreliable
,"Kings County, NY",36047,"Intentional self-harm by hanging, strangulation and suffocation",X70,55,2582830,2.1
,"Kings County, NY",36047,Intentional self-harm by other and unspecified firearm discharge,X74,22,2582830,0.9
,"Kings County, NY",36047,Intentional self-harm by jumping from a high place,X80,26,2582830,1.0
,"Kings County, NY",36047,Intentional self-harm by jumping or lying before moving object,X81,11,2582830,Unreliable
,"Monroe County, NY",36055,"Intentional self-harm by hanging, strangulation and suffocation",X70,32,742474,4.3
,"Monroe County, NY",36055,Intentional self-harm by other and unspecified firearm discharge,X74,10,742474,Unreliable
,"Nassau County, NY",36059,"Intentional self-harm by hanging, strangulation and suffocation",X70,40,1358343,2.9
,"Nassau County, NY",36059,Intentional self-harm by other and unspecified firearm discharge,X74,16,1358343,Unreliable
,"New York County, NY",36061,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13,1628701,Unreliable
,"New York County, NY",36061,"Intentional self-harm by hanging, strangulation and suffocation",X70,44,1628701,2.7
,"New York County, NY",36061,Intentional self-harm by jumping from a high place,X80,35,1628701,2.1
,"Niagara County, NY",36063,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,210433,Unreliable
,"Onondaga County, NY",36067,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,461809,5.0
,"Ontario County, NY",36069,Intentional self-harm by other and unspecified firearm discharge,X74,10,109864,Unreliable
,"Orange County, NY",36071,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,381951,Unreliable
,"Queens County, NY",36081,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,2278906,Unreliable
,"Queens County, NY",36081,"Intentional self-harm by hanging, strangulation and suffocation",X70,59,2278906,2.6
,"Queens County, NY",36081,Intentional self-harm by drowning and submersion,X71,10,2278906,Unreliable
,"Queens County, NY",36081,Intentional self-harm by other and unspecified firearm discharge,X74,14,2278906,Unreliable
,"Queens County, NY",36081,Intentional self-harm by jumping from a high place,X80,24,2278906,1.1
,"Queens County, NY",36081,Intentional self-harm by jumping or lying before moving object,X81,19,2278906,Unreliable
,"Richmond County, NY",36085,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,476179,Unreliable
,"Saratoga County, NY",36091,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,230163,Unreliable
,"Suffolk County, NY",36103,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,1481093,Unreliable
,"Suffolk County, NY",36103,"Intentional self-harm by hanging, strangulation and suffocation",X70,53,1481093,3.6
,"Suffolk County, NY",36103,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,19,1481093,Unreliable
,"Suffolk County, NY",36103,Intentional self-harm by other and unspecified firearm discharge,X74,15,1481093,Unreliable
,"Westchester County, NY",36119,"Intentional self-harm by hanging, strangulation and suffocation",X70,32,967612,3.3
,"Buncombe County, NC",37021,Intentional self-harm by other and unspecified firearm discharge,X74,21,259103,8.1
,"Cabarrus County, NC",37025,Intentional self-harm by other and unspecified firearm discharge,X74,12,211342,Unreliable
,"Carteret County, NC",37031,Intentional self-harm by other and unspecified firearm discharge,X74,10,69524,Unreliable
,"Catawba County, NC",37035,Intentional self-harm by other and unspecified firearm discharge,X74,11,158652,Unreliable
,"Cumberland County, NC",37051,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,332330,Unreliable
,"Cumberland County, NC",37051,Intentional self-harm by handgun discharge,X72,26,332330,7.8
,"Forsyth County, NC",37067,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,379099,Unreliable
,"Forsyth County, NC",37067,Intentional self-harm by handgun discharge,X72,11,379099,Unreliable
,"Forsyth County, NC",37067,Intentional self-harm by other and unspecified firearm discharge,X74,11,379099,Unreliable
,"Gaston County, NC",37071,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,222846,Unreliable
,"Gaston County, NC",37071,Intentional self-harm by other and unspecified firearm discharge,X74,17,222846,Unreliable
,"Guilford County, NC",37081,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,533670,4.1
,"Guilford County, NC",37081,Intentional self-harm by other and unspecified firearm discharge,X74,28,533670,5.2
,"Iredell County, NC",37097,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,178435,Unreliable
,"Iredell County, NC",37097,Intentional self-harm by other and unspecified firearm discharge,X74,14,178435,Unreliable
,"Johnston County, NC",37101,Intentional self-harm by handgun discharge,X72,13,202675,Unreliable
,"Mecklenburg County, NC",37119,"Intentional self-harm by hanging, strangulation and suffocation",X70,37,1093901,3.4
,"Mecklenburg County, NC",37119,Intentional self-harm by handgun discharge,X72,16,1093901,Unreliable
,"Mecklenburg County, NC",37119,Intentional self-harm by other and unspecified firearm discharge,X74,29,1093901,2.7
,"Moore County, NC",37125,Intentional self-harm by other and unspecified firearm discharge,X74,11,98682,Unreliable
,"Onslow County, NC",37133,Intentional self-harm by other and unspecified firearm discharge,X74,19,197683,Unreliable
,"Randolph County, NC",37151,Intentional self-harm by other and unspecified firearm discharge,X74,21,143351,14.6
,"Rowan County, NC",37159,Intentional self-harm by handgun discharge,X72,10,141262,Unreliable
,"Rutherford County, NC",37161,Intentional self-harm by other and unspecified firearm discharge,X74,11,66826,Unreliable
,"Wake County, NC",37183,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,1092305,2.5
,"Wake County, NC",37183,Intentional self-harm by handgun discharge,X72,33,1092305,3.0
,"Wake County, NC",37183,Intentional self-harm by other and unspecified firearm discharge,X74,13,1092305,Unreliable
,"Cass County, ND",38017,Intentional self-harm by other and unspecified firearm discharge,X74,12,181516,Unreliable
,"Ashtabula County, OH",39007,Intentional self-harm by other and unspecified firearm discharge,X74,12,97493,Unreliable
,"Belmont County, OH",39013,Intentional self-harm by other and unspecified firearm discharge,X74,13,67505,Unreliable
,"Butler County, OH",39017,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,382378,Unreliable
,"Butler County, OH",39017,Intentional self-harm by other and unspecified firearm discharge,X74,23,382378,6.0
,"Clark County, OH",39023,Intentional self-harm by other and unspecified firearm discharge,X74,17,134585,Unreliable
,"Clermont County, OH",39025,Intentional self-harm by other and unspecified firearm discharge,X74,23,205466,11.2
,"Columbiana County, OH",39029,Intentional self-harm by other and unspecified firearm discharge,X74,10,102665,Unreliable
,"Cuyahoga County, OH",39035,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,15,1243857,Unreliable
,"Cuyahoga County, OH",39035,"Intentional self-harm by hanging, strangulation and suffocation",X70,58,1243857,4.7
,"Cuyahoga County, OH",39035,Intentional self-harm by other and unspecified firearm discharge,X74,87,1243857,7.0
,"Franklin County, OH",39049,"Intentional self-harm by hanging, strangulation and suffocation",X70,54,1310300,4.1
,"Franklin County, OH",39049,Intentional self-harm by handgun discharge,X72,11,1310300,Unreliable
,"Franklin County, OH",39049,Intentional self-harm by other and unspecified firearm discharge,X74,69,1310300,5.3
,"Greene County, OH",39057,Intentional self-harm by other and unspecified firearm discharge,X74,15,167995,Unreliable
,"Hamilton County, OH",39061,"Intentional self-harm by hanging, strangulation and suffocation",X70,33,816684,4.0
,"Hamilton County, OH",39061,Intentional self-harm by handgun discharge,X72,10,816684,Unreliable
,"Hamilton County, OH",39061,Intentional self-harm by other and unspecified firearm discharge,X74,42,816684,5.1
,"Jefferson County, OH",39081,Intentional self-harm by other and unspecified firearm discharge,X74,12,65767,Unreliable
,"Licking County, OH",39089,Intentional self-harm by other and unspecified firearm discharge,X74,10,175769,Unreliable
,"Lorain County, OH",39093,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,309461,Unreliable
,"Lorain County, OH",39093,Intentional self-harm by other and unspecified firearm discharge,X74,23,309461,7.4
,"Lucas County, OH",39095,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,429899,Unreliable
,"Lucas County, OH",39095,Intentional self-harm by other and unspecified firearm discharge,X74,27,429899,6.3
,"Mahoning County, OH",39099,Intentional self-harm by other and unspecified firearm discharge,X74,14,229642,Unreliable
,"Medina County, OH",39103,Intentional self-harm by other and unspecified firearm discharge,X74,11,179146,Unreliable
,"Montgomery County, OH",39113,"Intentional self-harm by hanging, strangulation and suffocation",X70,25,532331,4.7
,"Montgomery County, OH",39113,Intentional self-harm by other and unspecified firearm discharge,X74,41,532331,7.7
,"Muskingum County, OH",39119,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,86183,Unreliable
,"Muskingum County, OH",39119,Intentional self-harm by other and unspecified firearm discharge,X74,13,86183,Unreliable
,"Portage County, OH",39133,Intentional self-harm by other and unspecified firearm discharge,X74,13,162927,Unreliable
,"Richland County, OH",39139,Intentional self-harm by other and unspecified firearm discharge,X74,15,121099,Unreliable
,"Stark County, OH",39151,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,371574,6.2
,"Stark County, OH",39151,Intentional self-harm by handgun discharge,X72,22,371574,5.9
,"Stark County, OH",39151,Intentional self-harm by other and unspecified firearm discharge,X74,14,371574,Unreliable
,"Summit County, OH",39153,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,541918,5.4
,"Summit County, OH",39153,Intentional self-harm by handgun discharge,X72,14,541918,Unreliable
,"Summit County, OH",39153,Intentional self-harm by other and unspecified firearm discharge,X74,23,541918,4.2
,"Trumbull County, OH",39155,Intentional self-harm by other and unspecified firearm discharge,X74,17,198627,Unreliable
,"Warren County, OH",39165,Intentional self-harm by other and unspecified firearm discharge,X74,13,232173,Unreliable
,"Wayne County, OH",39169,Intentional self-harm by other and unspecified firearm discharge,X74,10,115967,Unreliable
,"Cleveland County, OK",40027,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,281669,Unreliable
,"Cleveland County, OK",40027,Intentional self-harm by handgun discharge,X72,18,281669,Unreliable
,"Oklahoma County, OK",40109,"Intentional self-harm by hanging, strangulation and suffocation",X70,46,792582,5.8
,"Oklahoma County, OK",40109,Intentional self-harm by handgun discharge,X72,68,792582,8.6
,"Oklahoma County, OK",40109,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,792582,Unreliable
,"Oklahoma County, OK",40109,Intentional self-harm by other and unspecified firearm discharge,X74,14,792582,Unreliable
,"Rogers County, OK",40131,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,91984,Unreliable
,"Tulsa County, OK",40143,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,648360,5.4
,"Tulsa County, OK",40143,Intentional self-harm by handgun discharge,X72,57,648360,8.8
,"Wagoner County, OK",40145,Intentional self-harm by handgun discharge,X72,10,80110,Unreliable
,"Clackamas County, OR",41005,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,416075,Unreliable
,"Clackamas County, OR",41005,Intentional self-harm by handgun discharge,X72,25,416075,6.0
,"Coos County, OR",41011,Intentional self-harm by handgun discharge,X72,11,64389,Unreliable
,"Deschutes County, OR",41017,Intentional self-harm by handgun discharge,X72,20,191996,10.4
,"Douglas County, OR",41019,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,110283,Unreliable
,"Douglas County, OR",41019,Intentional self-harm by handgun discharge,X72,11,110283,Unreliable
,"Jackson County, OR",41029,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,219564,Unreliable
,"Jackson County, OR",41029,Intentional self-harm by handgun discharge,X72,15,219564,Unreliable
,"Jackson County, OR",41029,Intentional self-harm by other and unspecified firearm discharge,X74,16,219564,Unreliable
,"Josephine County, OR",41033,Intentional self-harm by handgun discharge,X72,13,87393,Unreliable
,"Lane County, OR",41039,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,379611,9.2
,"Lane County, OR",41039,Intentional self-harm by handgun discharge,X72,32,379611,8.4
,"Lincoln County, OR",41041,Intentional self-harm by handgun discharge,X72,11,49388,Unreliable
,"Linn County, OR",41043,Intentional self-harm by handgun discharge,X72,11,127335,Unreliable
,"Marion County, OR",41047,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,346868,Unreliable
,"Marion County, OR",41047,Intentional self-harm by handgun discharge,X72,33,346868,9.5
,"Multnomah County, OR",41051,"Intentional self-harm by hanging, strangulation and suffocation",X70,52,811880,6.4
,"Multnomah County, OR",41051,Intentional self-harm by handgun discharge,X72,43,811880,5.3
,"Multnomah County, OR",41051,Intentional self-harm by jumping from a high place,X80,13,811880,Unreliable
,"Washington County, OR",41067,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,597695,Unreliable
,"Washington County, OR",41067,Intentional self-harm by handgun discharge,X72,31,597695,5.2
,"Yamhill County, OR",41071,Intentional self-harm by handgun discharge,X72,13,107002,Unreliable
,"Adams County, PA",42001,Intentional self-harm by other and unspecified firearm discharge,X74,12,102811,Unreliable
,"Allegheny County, PA",42003,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,19,1218452,Unreliable
,"Allegheny County, PA",42003,"Intentional self-harm by hanging, strangulation and suffocation",X70,58,1218452,4.8
,"Allegheny County, PA",42003,Intentional self-harm by other and unspecified firearm discharge,X74,79,1218452,6.5
,"Beaver County, PA",42007,Intentional self-harm by other and unspecified firearm discharge,X74,12,164742,Unreliable
,"Berks County, PA",42011,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,420152,Unreliable
,"Berks County, PA",42011,Intentional self-harm by handgun discharge,X72,16,420152,Unreliable
,"Blair County, PA",42013,Intentional self-harm by other and unspecified firearm discharge,X74,10,122492,Unreliable
,"Bradford County, PA",42015,Intentional self-harm by other and unspecified firearm discharge,X74,10,60833,Unreliable
,"Bucks County, PA",42017,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,628195,4.6
,"Bucks County, PA",42017,Intentional self-harm by other and unspecified firearm discharge,X74,36,628195,5.7
,"Butler County, PA",42019,Intentional self-harm by other and unspecified firearm discharge,X74,11,187888,Unreliable
,"Chester County, PA",42029,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,522046,3.8
,"Chester County, PA",42029,Intentional self-harm by other and unspecified firearm discharge,X74,32,522046,6.1
,"Clearfield County, PA",42033,Intentional self-harm by other and unspecified firearm discharge,X74,10,79388,Unreliable
,"Cumberland County, PA",42041,Intentional self-harm by handgun discharge,X72,15,251423,Unreliable
,"Dauphin County, PA",42043,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,277097,Unreliable
,"Dauphin County, PA",42043,Intentional self-harm by other and unspecified firearm discharge,X74,15,277097,Unreliable
,"Delaware County, PA",42045,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,564751,4.8
,"Delaware County, PA",42045,Intentional self-harm by other and unspecified firearm discharge,X74,22,564751,3.9
,"Erie County, PA",42049,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,272061,Unreliable
,"Erie County, PA",42049,Intentional self-harm by handgun discharge,X72,17,272061,Unreliable
,"Fayette County, PA",42051,Intentional self-harm by other and unspecified firearm discharge,X74,16,130441,Unreliable
,"Franklin County, PA",42055,Intentional self-harm by other and unspecified firearm discharge,X74,10,154835,Unreliable
,"Indiana County, PA",42063,Intentional self-harm by handgun discharge,X72,10,84501,Unreliable
,"Lackawanna County, PA",42069,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,210793,Unreliable
,"Lackawanna County, PA",42069,Intentional self-harm by other and unspecified firearm discharge,X74,24,210793,11.4
,"Lancaster County, PA",42071,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,543557,Unreliable
,"Lancaster County, PA",42071,Intentional self-harm by other and unspecified firearm discharge,X74,42,543557,7.7
,"Lebanon County, PA",42075,Intentional self-harm by other and unspecified firearm discharge,X74,16,141314,Unreliable
,"Lehigh County, PA",42077,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,368100,Unreliable
,"Lehigh County, PA",42077,Intentional self-harm by other and unspecified firearm discharge,X74,26,368100,7.1
,"Luzerne County, PA",42079,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,317646,Unreliable
,"Luzerne County, PA",42079,Intentional self-harm by other and unspecified firearm discharge,X74,33,317646,10.4
,"Mifflin County, PA",42087,Intentional self-harm by other and unspecified firearm discharge,X74,10,46222,Unreliable
,"Monroe County, PA",42089,Intentional self-harm by handgun discharge,X72,15,169507,Unreliable
,"Montgomery County, PA",42091,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,828604,Unreliable
,"Montgomery County, PA",42091,"Intentional self-harm by hanging, strangulation and suffocation",X70,39,828604,4.7
,"Montgomery County, PA",42091,Intentional self-harm by other and unspecified firearm discharge,X74,31,828604,3.7
,"Northampton County, PA",42095,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,304807,Unreliable
,"Northampton County, PA",42095,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,304807,Unreliable
,"Northampton County, PA",42095,Intentional self-harm by other and unspecified firearm discharge,X74,21,304807,6.9
,"Philadelphia County, PA",42101,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,1584138,Unreliable
,"Philadelphia County, PA",42101,"Intentional self-harm by hanging, strangulation and suffocation",X70,68,1584138,4.3
,"Philadelphia County, PA",42101,Intentional self-harm by other and unspecified firearm discharge,X74,49,1584138,3.1
,"Schuylkill County, PA",42107,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,142067,Unreliable
,"Washington County, PA",42125,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,207346,Unreliable
,"Washington County, PA",42125,Intentional self-harm by other and unspecified firearm discharge,X74,25,207346,12.1
,"Westmoreland County, PA",42129,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,350611,Unreliable
,"Westmoreland County, PA",42129,Intentional self-harm by other and unspecified firearm discharge,X74,33,350611,9.4
,"York County, PA",42133,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,448273,Unreliable
,"York County, PA",42133,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,448273,4.9
,"York County, PA",42133,Intentional self-harm by other and unspecified firearm discharge,X74,49,448273,10.9
,"Providence County, RI",44007,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,636084,4.1
,"Aiken County, SC",45003,Intentional self-harm by other and unspecified firearm discharge,X74,25,169401,14.8
,"Anderson County, SC",45007,Intentional self-harm by other and unspecified firearm discharge,X74,15,200482,Unreliable
,"Beaufort County, SC",45013,Intentional self-harm by other and unspecified firearm discharge,X74,16,188715,Unreliable
,"Berkeley County, SC",45015,Intentional self-harm by other and unspecified firearm discharge,X74,16,221091,Unreliable
,"Charleston County, SC",45019,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,405905,Unreliable
,"Charleston County, SC",45019,Intentional self-harm by other and unspecified firearm discharge,X74,34,405905,8.4
,"Chesterfield County, SC",45025,Intentional self-harm by other and unspecified firearm discharge,X74,10,45754,Unreliable
,"Dorchester County, SC",45035,Intentional self-harm by other and unspecified firearm discharge,X74,14,160647,Unreliable
,"Greenville County, SC",45045,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,514213,Unreliable
,"Greenville County, SC",45045,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,514213,Unreliable
,"Greenville County, SC",45045,Intentional self-harm by other and unspecified firearm discharge,X74,49,514213,9.5
,"Horry County, SC",45051,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,344147,Unreliable
,"Horry County, SC",45051,Intentional self-harm by other and unspecified firearm discharge,X74,36,344147,10.5
,"Lancaster County, SC",45057,Intentional self-harm by other and unspecified firearm discharge,X74,10,95380,Unreliable
,"Laurens County, SC",45059,Intentional self-harm by other and unspecified firearm discharge,X74,13,66994,Unreliable
,"Lexington County, SC",45063,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,295032,Unreliable
,"Lexington County, SC",45063,Intentional self-harm by other and unspecified firearm discharge,X74,25,295032,8.5
,"Pickens County, SC",45077,Intentional self-harm by other and unspecified firearm discharge,X74,12,124937,Unreliable
,"Richland County, SC",45079,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,414576,Unreliable
,"Richland County, SC",45079,Intentional self-harm by other and unspecified firearm discharge,X74,22,414576,5.3
,"Spartanburg County, SC",45083,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,313888,Unreliable
,"Spartanburg County, SC",45083,Intentional self-harm by other and unspecified firearm discharge,X74,38,313888,12.1
,"York County, SC",45091,Intentional self-harm by other and unspecified firearm discharge,X74,24,274118,8.8
,"Minnehaha County, SD",46099,Intentional self-harm by handgun discharge,X72,11,192876,Unreliable
,"Pennington County, SD",46103,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,111729,Unreliable
,"Blount County, TN",47009,Intentional self-harm by other and unspecified firearm discharge,X74,18,131349,Unreliable
,"Bradley County, TN",47011,Intentional self-harm by other and unspecified firearm discharge,X74,13,106727,Unreliable
,"Cumberland County, TN",47035,Intentional self-harm by other and unspecified firearm discharge,X74,10,59673,Unreliable
,"Davidson County, TN",47037,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,692587,3.8
,"Davidson County, TN",47037,Intentional self-harm by other and unspecified firearm discharge,X74,37,692587,5.3
,"Hamilton County, TN",47065,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,364286,Unreliable
,"Hamilton County, TN",47065,Intentional self-harm by other and unspecified firearm discharge,X74,22,364286,6.0
,"Knox County, TN",47093,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,465289,5.8
,"Knox County, TN",47093,Intentional self-harm by handgun discharge,X72,26,465289,5.6
,"Knox County, TN",47093,Intentional self-harm by other and unspecified firearm discharge,X74,21,465289,4.5
,"Maury County, TN",47119,Intentional self-harm by other and unspecified firearm discharge,X74,11,94340,Unreliable
,"Montgomery County, TN",47125,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,205950,Unreliable
,"Montgomery County, TN",47125,Intentional self-harm by other and unspecified firearm discharge,X74,21,205950,10.2
,"Roane County, TN",47145,Intentional self-harm by other and unspecified firearm discharge,X74,11,53140,Unreliable
,"Rutherford County, TN",47149,Intentional self-harm by other and unspecified firearm discharge,X74,26,324890,8.0
,"Shelby County, TN",47157,"Intentional self-harm by hanging, strangulation and suffocation",X70,23,935764,2.5
,"Shelby County, TN",47157,Intentional self-harm by handgun discharge,X72,11,935764,Unreliable
,"Shelby County, TN",47157,Intentional self-harm by other and unspecified firearm discharge,X74,48,935764,5.1
,"Sullivan County, TN",47163,Intentional self-harm by other and unspecified firearm discharge,X74,15,157668,Unreliable
,"Sumner County, TN",47165,Intentional self-harm by other and unspecified firearm discharge,X74,25,187149,13.4
,"Williamson County, TN",47187,Intentional self-harm by other and unspecified firearm discharge,X74,16,231729,Unreliable
